Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124),S(1122),C4F10(82)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8920762344913854e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999923,1.991016922283988e-16,1.9910150881324574e-16,1.375679308846404e-16,1.3756793088831897e-16,1.1915186068624184e-16,1.1915186080229864e-16,1.1914861399719304e-16,1.191486139975104e-16,1.0624069129440229e-16,1.0624069245349236e-16,9.619219253053687e-17,9.61921925332505e-17,1.831892121219407e-22,2.1965930853804187e-25,9.289565522602996e-26,2.0131643053985434e-26,1.56720744906124e-21,4.5320907030634645e-34,1.9168706412388452e-26,2.4707690584514385e-30,1.4810860545537896e-27,4.5228684519967574e-27,7.989630771564991e-34,1.8564724865792608e-27,2.3183335941859247e-24,1.2827031022223918e-27,8.96926588755341e-28,1.111035336641773e-27,1.3810200187800696e-38,1.5683666913006644e-21,1.15908892155445e-24,4.0756595229597416e-33,6.594548534982659e-28,7.957568442082197e-31,8.782239729748833e-42,3.195224553449562e-28,3.1714613121383138e-31,3.992780621326649e-42,1.030009841837378e-34,1.8539787656446407e-32,6.166971301159477e-35,3.6360008173827994e-43,6.167810861413526e-35,1.0308012026839914e-42,4.119805508124194e-57,4.581962886898207e-56,5.570513314196524e-67,7.402499965285522e-47,1.465452284753337e-59,8.40299104147527e-60,1.0907253426544475e-70,6.251299669170748e-71,2.8790964708728495e-59,1.2811617649633722e-57,6.27456444476316e-65,1.868756829759166e-63,1.2373131786777428e-32,1.7213176570240303e-43,5.856994185318821e-74,3.358451835149415e-74,1.1305961855971025e-43,7.185506408413315e-45,2.072160891895333e-61,2.3254758225149328e-57,7.303002198740798e-71,4.593168508312581e-74,1.0537634295705157e-54,7.559605403066767e-44,7.772220620706696e-44,2.3527131763126244e-74,1.3398419920067988e-74,6.975673619922383e-32,4.034835979153588e-37,1.1392825774283829e-44,6.991280432488775e-48,3.537841344934026e-48,2.33353134812593e-49,5.451855599447944e-48,3.6390530059624444e-49,1.2766805214820574e-43
8.09781345657588e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999783,5.574847382466801e-16,5.5748363063840785e-16,3.851902064678832e-16,3.851902064901042e-16,3.3362520954615884e-16,3.3362521024714355e-16,3.336161191842961e-16,3.3361611918621335e-16,2.9747393562432263e-16,2.9747394262024085e-16,2.693381390791341e-16,2.693381390955261e-16,1.1062435717992389e-21,1.3267410015353348e-24,5.610897429376685e-25,1.2159512010140164e-25,4.388180879795664e-21,5.372053772340849e-33,1.157789650050771e-25,2.932763279840035e-29,8.945759769440205e-27,2.731812001052504e-26,9.476844935414066e-33,1.1209838508963253e-26,6.491334047917824e-24,7.745197905089707e-27,5.4159060707118135e-27,6.708906163006715e-27,1.6391314748250456e-37,4.387676276793659e-21,6.995907941876635e-24,2.46169836236459e-32,3.980032164911633e-27,7.881520548142645e-30,1.5583034051824373e-40,1.929367989085562e-27,2.4632028082144715e-30,5.6586893218159e-41,5.597020764434387e-34,1.1198031744614752e-31,3.3528632448301255e-34,4.316660170368378e-42,3.353319697323067e-34,1.5081517838519972e-41,2.034524655049697e-55,2.7837962518914084e-54,3.236507697171581e-65,1.3937412021034369e-45,8.818689059127565e-58,5.097510175335813e-58,8.331080915702698e-69,4.81203680225166e-69,2.394253251457056e-57,5.0980083318491705e-56,2.997434730009072e-63,1.0750940035536968e-61,7.473371599227783e-32,3.849830612280328e-42,5.601297616972523e-72,3.238364958951668e-72,2.4078384982290403e-42,2.8151818642446203e-43,3.131446761343415e-60,7.311658348417982e-56,6.266191209786038e-69,5.587297720807732e-72,3.2889336857650137e-53,1.609892418761819e-42,1.7383039527002577e-42,2.0116036141915672e-72,1.1486960717591156e-72,4.213287079449718e-31,4.7901366732885415e-36,6.946091908054533e-44,1.4878516970648158e-46,7.524212911299968e-47,8.991135208018371e-48,1.1602411642785048e-46,1.396097324267847e-47,1.929319604128533e-42
1.8509287900744868e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999502,1.2742508303119213e-15,1.2742454998867659e-15,8.804347575979291e-16,8.804347577049374e-16,7.625719057647194e-16,7.625719091396767e-16,7.625511295271248e-16,7.625511295363558e-16,6.799404242841477e-16,6.79940457915809e-16,6.156300321508522e-16,6.156300322297881e-16,5.323854542838906e-21,6.387674368732285e-24,2.7014054345596763e-24,5.85428120839844e-25,1.0030127946166874e-20,5.260645964720582e-32,5.574256567120116e-25,2.8782751405600693e-28,4.306998246545522e-26,1.3152493299106743e-25,9.290752834978402e-32,5.393741843329445e-26,1.4837334892170568e-23,3.7266094595680397e-26,2.605968021097037e-26,3.228271209792392e-26,1.6084295958709427e-36,1.0011333419631031e-20,3.3631574583339924e-23,1.18520181580773e-31,1.9130890599250848e-26,6.919713440002414e-29,2.6189886914845947e-39,9.28350301618286e-27,1.7432579418579792e-29,7.499080178974527e-40,2.215462540062345e-33,5.391370250676349e-31,1.3282900677739256e-33,4.2381225526532007e-41,1.3284708984846885e-33,1.5158292534858399e-40,7.692233011428436e-54,1.2531026370760892e-52,2.9884750073400636e-63,2.4567081643981294e-44,3.8890034410023327e-56,2.2888102867054573e-56,8.880459888709629e-67,5.2174233735900884e-67,1.9653208304338976e-55,1.6275211930303523e-54,1.5607580495458804e-61,4.8090691034639715e-60,3.598106723616227e-31,7.603644337375015e-41,1.0703215137619645e-69,6.299718880415768e-70,4.30530709476e-41,1.0063476244677325e-41,3.368661223165877e-59,1.6311846621636927e-54,9.54202898097068e-67,1.5017763492529799e-69,7.219763314146873e-52,2.877966519949225e-41,3.4332536512181686e-41,3.039950187649383e-70,1.7464279902869288e-70,2.0284952959758464e-30,4.702939054181152e-35,3.4083869630956997e-43,2.656986362304407e-45,1.3422289295789432e-45,3.1785981020198776e-46,2.0719778800845852e-45,4.926108805367236e-46,2.0754739903770303e-41
3.933223678908284e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.09999999999998943,2.7077830145573266e-15,2.707759754776956e-15,1.8709238597122623e-15,1.8709238601798044e-15,1.620465292196749e-15,1.6204653069362283e-15,1.6204211500872709e-15,1.6204211501275878e-15,1.4448734016037364e-15,1.4448735480386866e-15,1.3082138181923827e-15,1.3082138185372538e-15,2.323108331256489e-20,2.789654298466949e-23,1.1797745946435543e-23,2.5567180564323527e-24,2.1314023818803747e-20,4.637584151649301e-31,2.4344223507851868e-24,2.5437967315764094e-27,1.8809792891834523e-25,5.744034502766067e-25,8.202164272844202e-31,2.3526830514437143e-25,3.152933632783199e-23,1.6254297113315596e-25,1.1367284451186928e-25,1.4083108088857627e-25,1.4210758634692642e-35,2.1199116365086443e-20,1.4643424988570668e-22,5.176088090962347e-31,8.327630372149216e-26,5.755236363616063e-28,4.241963771886582e-38,4.049461090088395e-26,1.250183284062351e-28,1.0082160624799956e-38,7.062938743143984e-33,2.3545530325566608e-30,4.239205551077714e-33,3.748571402504253e-40,4.239782666205247e-33,1.229816918382726e-39,2.4226858003481234e-52,4.7041577680500835e-51,2.3490768654246932e-61,4.1003984069385064e-43,1.404465307192301e-54,8.564710483594894e-55,6.963367647262899e-65,4.231536513323125e-65,1.448108126146044e-53,4.787616473591754e-53,6.22857566160964e-60,1.800229910445219e-58,1.5713877369428957e-30,1.3519672375864516e-39,1.5937270183238705e-67,9.716622261787185e-68,6.429729902673417e-40,3.014756430636896e-40,3.09637270666913e-58,3.0550056330439826e-53,1.231614116414563e-64,3.770078659191889e-67,1.3099771716126114e-50,4.295149281101324e-40,6.1045023261689154e-40,3.868147382905087e-68,2.250402685819651e-68,8.85877748817991e-30,4.15961132244121e-34,1.5445161892574566e-42,3.961048520316879e-44,1.9983951524243566e-44,9.460073603767562e-45,3.089122475174387e-44,1.465976456973846e-44,1.907718170103085e-40
8.09781345657588e-17,0.11224537200000244,0.9,0.0,0.0,0.0,0.0,0.09999999999997823,5.574847383509483e-15,5.574750441811756e-15,3.851902063357894e-15,3.85190206531152e-15,3.336252041040448e-15,3.3362521025761615e-15,3.3361611907055094e-15,3.3361611908738397e-15,2.9747393562426666e-15,2.9747399639057366e-15,2.6933813898678226e-15,2.6933813913087283e-15,9.682188093560237e-20,1.1646166517113521e-22,4.9253255995412933e-23,1.0673791644410302e-23,4.388182986424357e-20,3.8851376902182986e-30,1.0163217914273443e-23,2.1348512520880536e-26,7.8527182603502165e-25,2.3980172651178563e-24,6.881373976551484e-30,9.797788344795934e-25,6.491333818778059e-23,6.768540018349019e-25,4.734237589239611e-25,5.866422964817147e-25,1.1918807082621464e-34,4.333906438885772e-20,6.076574747616428e-22,2.1609155260511802e-30,3.4539875657650364e-25,4.666115634848121e-27,6.765473126597915e-37,1.6864985240983919e-25,9.29102872422084e-28,1.4251368448670699e-37,1.8845325043805872e-32,9.829795417142911e-30,1.1323019664291649e-32,3.1509001319974874e-39,1.1324561137978133e-32,8.504743717085768e-39,6.615542705567507e-51,1.613416247015655e-49,1.66026962619338e-59,6.660557992070527e-42,4.488179385566492e-53,2.928215678115113e-53,4.633516877527921e-63,3.0028186479126e-63,9.906333286519895e-52,1.364404378649514e-51,2.2137333442171595e-58,6.171807722631952e-57,6.560234473550829e-30,2.2767211839021655e-38,2.0554841167770744e-65,1.3396884279304485e-65,8.198830075607573e-39,7.70618285307843e-39,2.649060314263704e-57,5.276684407141453e-52,1.5288747930986868e-62,9.307724602694102e-65,2.1294900555548814e-49,5.4659374366779754e-39,1.0280019644763496e-38,4.6772840866813524e-66,2.791861565404853e-66,3.6981962291278334e-29,3.49625517462561e-33,6.91480532176922e-42,5.038971275095314e-43,2.5394409488875915e-43,2.410127541170826e-43,3.930610175798154e-43,3.737669158607662e-43,1.63209305934891e-39
1.642699301191107e-16,0.11224537200000498,0.9,0.0,0.0,0.0,0.0,0.09999999999995585,1.1308976123272298e-14,1.1308581413091309e-14,7.813858468317022e-15,7.813858476312266e-15,6.7678254426464755e-15,6.767825694050399e-15,6.767641269933682e-15,6.7676412706214925e-15,6.034471265519539e-15,6.034473718497405e-15,5.463716531588214e-15,5.463716537484023e-15,3.942205909352814e-19,4.757764970156325e-22,2.0121553227990304e-22,4.3605897530196965e-23,8.901755753546445e-20,3.176765608913977e-29,4.1519929715331354e-23,1.7447919555664287e-25,3.2080916368568248e-24,9.796649735792088e-24,5.633246127363652e-29,3.983075371074547e-24,1.3168133786221289e-22,2.751124882346096e-24,1.9248529334976067e-24,2.3860690483760613e-24,9.729078205722196e-34,8.669613085181694e-20,2.452933537084696e-21,8.82805546426807e-30,1.3929031806291889e-24,3.722603975157016e-26,1.0667903818552626e-35,6.856845310891389e-25,7.100827320836108e-27,2.107288981634272e-36,4.3794856335368143e-32,4.0157921669777076e-29,2.633330722092315e-32,2.583298297291678e-38,2.6336892012426355e-32,5.064332109742633e-38,1.5666495568728013e-49,5.252634929338229e-48,1.1008322615133519e-57,1.063932073219516e-40,1.2926196190372149e-51,9.511544574495164e-52,2.7327545146311287e-61,1.9872391206621303e-61,6.450983119892215e-50,3.717828535073367e-50,7.456463584458616e-57,2.013490302075988e-55,2.680069837717079e-29,3.7278528878056064e-37,2.361777738316112e-63,1.7335350107308567e-63,9.044096632052347e-38,1.7000244739271497e-37,2.191175977903271e-56,8.767032219729097e-51,1.8853913361891e-60,2.2933344225741955e-62,3.1646777746943714e-48,5.998553292263784e-38,1.6832276688511074e-37,5.498912429232732e-64,3.451242726058769e-64,1.510692606009268e-28,2.8661915112254387e-32,3.2054739879593376e-41,5.5386251676245544e-42,2.7906240573105893e-42,5.316943329216949e-42,4.3228216580011234e-42,8.252936900484555e-42,1.349446103813066e-38
3.308535212258145e-16,0.11224537200000999,0.9,0.0,0.0,0.0,0.0,0.09999999999991106,2.27772336103351e-14,2.277564876697983e-14,1.5737771268906724e-14,1.573777130133672e-14,1.3630971861533561e-14,1.3630972877831926e-14,1.3630601420356138e-14,1.3630601423137398e-14,1.2153935084069335e-14,1.2153944768501526e-14,1.1004386808507044e-14,1.100438683241254e-14,1.5828635588686911e-18,1.923105338151828e-21,8.133446302808273e-22,1.7626181488261342e-22,1.792899367807436e-19,2.5680998871153174e-28,1.6782913988251908e-22,1.4041707150379745e-24,1.2967619322895115e-23,3.959935580251133e-23,4.557395922782848e-28,1.5943601678438338e-23,2.6521732102972196e-22,1.1008542235637459e-23,7.706871340143518e-24,9.56057458243938e-24,7.810600978987617e-33,1.6986966457519793e-19,9.684084972085295e-21,3.5684579752868565e-29,5.4886703590677495e-24,2.9214056123968966e-25,1.654235613233382e-34,2.7452815881566313e-24,5.506754818803477e-26,3.2002864271489193e-35,9.260647905163137e-32,1.6232474014970404e-28,5.569838545190558e-32,2.092021937227312e-37,5.570596667970452e-32,2.626968664388458e-37,3.217993982492506e-48,1.6402260272505343e-46,6.964817810441973e-56,1.6717465107464824e-39,3.322884099815217e-50,2.9682257361528252e-50,1.429515052872839e-59,1.2535059343374202e-59,4.031051410487517e-48,9.346959903326084e-49,2.447286008516394e-55,6.323559927173147e-54,1.0833270791135632e-28,6.0055230822952035e-36,2.3943425769059965e-61,2.1286366956213774e-61,8.861158250583815e-37,3.310258857892426e-36,1.7933462081252892e-55,1.429164450489385e-49,2.303546747602692e-58,5.603131145865999e-60,4.25669099573236e-47,5.809383014231483e-37,2.7116581360157087e-36,6.176355436675034e-62,4.252164948829541e-62,6.105308744000318e-28,2.3207076620475657e-31,1.6021200453373433e-40,5.391860614322227e-41,2.720548118952819e-41,1.0398134821928035e-40,4.213810472775917e-41,1.615093238329413e-40,1.097347161830404e-37
6.640207034392221e-16,0.11224537200002005,0.9,0.0,0.0,0.0,0.0,0.09999999999982151,4.571374861540714e-14,4.5707460001916665e-14,3.158559683277198e-14,3.1585596964046804e-14,2.7357263162012053e-14,2.7357267249158312e-14,2.735652168906025e-14,2.7356521700251607e-14,2.4392862721153122e-14,2.4392899921451e-14,2.2085727336256896e-14,2.208572743295701e-14,6.280646550736032e-18,7.732253327060766e-21,3.2704171735087487e-21,7.08739437846948e-22,3.598419982563586e-19,2.06492227506615e-27,6.748252639870925e-22,1.1162757469802612e-23,5.21422269381485e-23,1.5922510656251126e-22,3.666038912178054e-27,6.288268276867489e-23,5.322892226472275e-22,4.338955112354323e-23,3.041182492062296e-23,3.7781070957214064e-23,6.179489277171234e-32,3.2316548741810746e-19,3.7197632846729404e-20,1.4348879386281242e-28,2.1007347462471184e-23,2.2370386505246534e-24,2.488132328003028e-33,1.0832186432515756e-23,4.278938957746003e-25,4.896529350314876e-34,1.8313242200635985e-31,6.527006413436746e-28,1.100872753836818e-31,1.6838412561969505e-36,1.1010225067508535e-31,1.223093017755288e-36,5.810116186097478e-47,4.8714920041321456e-45,5.542412740955551e-54,2.564483553789073e-38,7.533383852202817e-49,8.835422246390804e-49,8.725183385739514e-58,9.967090692984982e-58,2.396305940479466e-46,2.095485150602732e-47,9.203627357133955e-54,1.902405666019278e-52,4.35601053935558e-28,9.55310038177951e-35,3.6286317519774735e-59,4.218567801930446e-59,8.01899704844257e-36,5.87557944896421e-35,1.6328634105977802e-54,2.3078005460109926e-48,4.735164036814022e-56,2.2995719441954608e-57,5.084853008904863e-46,5.1320873844646275e-36,4.3134864347459653e-35,1.1118967260382177e-59,8.94609055129375e-60,2.453988509647759e-27,1.867247640319851e-30,8.886801245994434e-40,4.819612460368994e-40,2.4420913824207057e-40,1.8662381729857065e-39,3.7771007502268974e-40,2.8999725071165953e-39,8.850502421848066e-37
1.3303550678660373e-15,0.11224537200004016,0.9,0.0,0.0,0.0,0.0,0.09999999999964239,9.158677875530482e-14,9.1562207804068e-14,6.32812478112461e-14,6.328124834436132e-14,5.480983961381987e-14,5.480985601011154e-14,5.480836209786521e-14,5.480836214280963e-14,4.887071799525749e-14,4.887085484885207e-14,4.4248408287405375e-14,4.424840867961156e-14,2.453895196533446e-17,3.100616588630259e-20,1.3115788973045243e-20,2.8423495643661468e-21,7.210028893173278e-19,1.6560622270896106e-26,2.7062867250503708e-21,8.741779119272009e-23,2.0911365104525658e-22,6.385465561309361e-22,2.9407899515763044e-26,2.4286497197658164e-22,1.0664327671346812e-21,1.6736662132245983e-22,1.1756953921315519e-22,1.4646086336585648e-22,4.794918852147752e-31,5.851479894069088e-19,1.3683387368786818e-19,5.754958982617226e-28,7.67883318681471e-23,1.6432050308555107e-23,3.5387514592348883e-32,4.1869858328126545e-23,3.2880970524870824e-24,7.400817829702535e-33,3.396934251513433e-31,2.6176215034865196e-27,2.0355150186709896e-31,1.3511765625316752e-35,2.035791177093732e-31,5.3090548464881376e-36,9.36314376981437e-46,1.341985773086957e-43,3.1075661192085094e-52,3.778309766774502e-37,1.5155272711664916e-47,2.456025811712968e-47,3.5560462757090983e-56,5.600638674428018e-56,1.3218850409484747e-44,4.1254437626177594e-46,2.9738787801352606e-52,5.383234421355473e-51,1.7469550542732776e-27,1.4967173427898005e-33,2.6926602573085564e-57,4.3207835822874796e-57,6.967136311576029e-35,9.772225177279892e-34,3.36297199676123e-53,3.7088475487303824e-47,5.286351329527463e-54,5.144497015201988e-55,5.3628149371588586e-45,4.2523484701239913e-35,6.758088666622679e-34,1.0226134762555892e-57,1.0416791732040785e-57,9.834135837978233e-27,1.4972892950467133e-29,5.494473566265858e-39,4.090490108807922e-39,2.091859609139465e-39,3.1765643853886115e-38,3.223899630902894e-39,4.937282381050554e-38,7.109204889897164e-36
