Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124),S(1122),C4F10(82),S(871)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9088420342753166e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.09999999999999921,2.0025591460634647e-16,2.002557290586795e-16,1.3836543281710922e-16,1.383654328208306e-16,1.1984260189643896e-16,1.1984260201384528e-16,1.19839336386508e-16,1.198393363868291e-16,1.0685658451945126e-16,1.0685658569201408e-16,9.674983310082241e-17,9.674983310356766e-17,1.8531909871014232e-22,2.2221348531524815e-25,9.397583724883268e-26,2.0365731922739506e-26,1.5762927857757783e-21,4.611316479081432e-34,1.9391598325565683e-26,2.5139859011920636e-30,1.4983079854206285e-27,4.57545994015472e-27,8.129337446970652e-34,1.8780561016925915e-27,2.3317733217860065e-24,1.29761591216099e-27,9.073544282666786e-28,1.123952594782823e-27,1.4051751289459665e-38,1.5774519949417977e-21,1.1725616797719485e-24,4.123050912837228e-33,6.671198389070539e-28,8.08104112805804e-31,8.964863714830456e-42,3.2323728190556804e-28,3.213847030175122e-31,4.067786640500464e-42,1.041302896175314e-34,1.8755366582685374e-32,6.234607170217246e-35,3.699603437009759e-43,6.235455938293227e-35,1.0486022474663195e-42,4.23144884582483e-57,4.716279969796383e-56,5.7413350029414693e-67,7.560939259352428e-47,1.5083077542156684e-59,8.649222650775252e-60,1.1291339125777528e-70,6.471784912648174e-71,2.968674118029045e-59,1.313298739818335e-57,6.458558351056502e-65,1.923540420798592e-63,1.251700541220521e-32,1.76157887509744e-43,6.086527587031572e-74,3.490268464592003e-74,1.1566432211297444e-43,7.3933087288558e-45,2.1084080826547905e-61,2.379871052563593e-57,7.573669723130688e-71,4.771751467825536e-74,1.0783565967713603e-54,7.733764062944858e-44,7.954011046225605e-44,2.439845166682727e-74,1.3894875660195587e-74,7.056785908168404e-32,4.10541509531688e-37,1.1525717512862383e-44,7.152309064922165e-48,3.619310197916302e-48,2.4005300836626707e-49,5.577427013289623e-48,3.7433247954213476e-49,1.2990128117295827e-43,2.87272941214045e-48
8.144757695970886e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999783,5.607165609050168e-16,5.607154404201955e-16,3.874232118786901e-16,3.874232119011696e-16,3.3555928493034664e-16,3.3555928563948245e-16,3.355501418742869e-16,3.3555014187622646e-16,2.991984366544597e-16,2.9919844373166637e-16,2.708995326758597e-16,2.7089953269244243e-16,1.1191042519725142e-21,1.3421682078972605e-24,5.676140420995251e-25,1.2300901679967417e-25,4.413619822988547e-21,5.465927950476773e-33,1.17125231780703e-25,2.984057834989205e-29,9.049780231874784e-27,2.763577250384828e-26,9.642522025777997e-33,1.1340146617016224e-26,6.528965285014301e-24,7.835230552074043e-27,5.478863456094553e-27,6.786895845895028e-27,1.6677987048220522e-37,4.4130715624651316e-21,7.077196189903313e-24,2.490322762096088e-32,4.0262749254399274e-27,8.00984937362653e-30,1.5920372793183536e-40,1.9517959645751298e-27,2.498380700560411e-30,5.769214038809453e-41,5.655408771845987e-34,1.1328241416065207e-31,3.3878590899292678e-34,4.3921692003888404e-42,3.388320306688124e-34,1.5339232408978577e-41,2.090853136125554e-55,2.8653796805646666e-54,3.34343194875987e-65,1.4245886953285275e-45,9.076032283402121e-58,5.2468097127199824e-58,8.623957714105638e-69,4.981698877359623e-69,2.4751618631303928e-57,5.230235146836532e-56,3.0853308269712976e-63,1.1066037235829884e-61,7.560271268986416e-32,3.9398731734984504e-42,5.822737116045921e-72,3.3667423997413594e-72,2.462666167118472e-42,2.8959112722283307e-43,3.18622345128378e-60,7.482685370136152e-56,6.501083684310014e-69,5.820024513139286e-72,3.3655505131181502e-53,1.6465490939590622e-42,1.7789606349907025e-42,2.0869143510218883e-72,1.1917422966148203e-72,4.262278549032266e-31,4.8739277114187e-36,7.0274923888611e-44,1.521717922275534e-46,7.69542076587959e-47,9.247860597969787e-48,1.1866504377905809e-46,1.43592170254474e-47,1.963068161152109e-42,6.416475370049216e-47
1.8616589019362028e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999501,1.2816378535313702e-15,1.2816324611502e-15,8.855387699649884e-16,8.855387700732414e-16,7.669926494794323e-16,7.669926528936334e-16,7.669717528181025e-16,7.669717528274409e-16,6.83882140924461e-16,6.838821749466057e-16,6.191989318001616e-16,6.191989318800159e-16,5.385734152826995e-21,6.461949508990239e-24,2.732817123944703e-24,5.922354241081824e-25,1.0088274105899483e-20,5.352533676491836e-32,5.639073478506822e-25,2.928610039438242e-28,4.357079621504599e-26,1.330542920394388e-25,9.453137032592499e-32,5.456421671099534e-26,1.492334914752483e-23,3.769914872090144e-26,2.636252060635325e-26,3.265788793752536e-26,1.6365546903203934e-36,1.0069175106486854e-20,3.4022056692558513e-23,1.1989832326045515e-31,1.9352983756725777e-26,7.036081091953584e-29,2.6775432656679938e-39,9.391386626829925e-27,1.769938255420998e-29,7.653025189734642e-40,2.2366646691473803e-33,5.454060602429825e-31,1.3410126642423947e-33,4.3122577660883274e-41,1.341195226979079e-33,1.5411825502358915e-40,7.906680791606402e-54,1.28980514585826e-52,3.092277155167355e-63,2.512422978137615e-44,4.0019808653671566e-56,2.355790371165439e-56,9.191538072125535e-67,5.40125396289862e-67,2.03391530626291e-55,1.671222633200676e-54,1.6065253650050942e-61,4.9499453211267e-60,3.6399451738910022e-31,7.781466146368244e-41,1.1132514292479519e-69,6.553753508674189e-70,4.4011650508969455e-41,1.034710337855395e-41,3.4275873445547996e-59,1.6693396712464832e-54,9.90994374496854e-67,1.5680185105207404e-69,7.387274118543089e-52,2.942035884635753e-41,3.513545067793494e-41,3.1568912858230316e-70,1.8137398092330802e-70,2.0520822025869552e-30,4.785204508605404e-35,3.4486996305747662e-43,2.7161102071720597e-45,1.3720824583219372e-45,3.26795460049657e-46,2.1180845582389116e-45,5.0645574196811015e-46,2.1117791479916352e-41,1.2645610466427422e-45
3.9560251666144305e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.09999999999998938,2.7234804389003383e-15,2.723456908884125e-15,1.8817698859901315e-15,1.881769886463112e-15,1.6298593725026848e-15,1.6298593874135552e-15,1.6298149745787631e-15,1.6298149746195482e-15,1.4532495494644009e-15,1.4532496975969622e-15,1.315797729945675e-15,1.315797730294558e-15,2.350098545050198e-20,2.822092012769478e-23,1.193492902367135e-23,2.586447332068811e-24,2.1437584442030876e-20,4.718571524560984e-31,2.462729564955427e-24,2.588270519188776e-27,1.9028511413825948e-25,5.810825545243073e-25,8.345504890986167e-31,2.3800062093336124e-25,3.1712116616761763e-23,1.6443060071575984e-25,1.1499304084366697e-25,1.4246684626673843e-25,1.4459156859701497e-35,2.1321162125226222e-20,1.481318488228957e-22,5.236275167722806e-31,8.424147642970099e-26,5.853721754645029e-28,4.338654946836704e-38,4.09649128020159e-26,1.2703769632643643e-28,1.029891478209095e-38,7.122742742077723e-33,2.3819315561923003e-30,4.2751393012988346e-33,3.814143159230551e-40,4.275721308336329e-33,1.2496391974185296e-39,2.48954534696606e-52,4.8417778452327534e-51,2.4315439624114642e-61,4.194662016537308e-43,1.444927742214401e-54,8.815027022270165e-55,7.205680965904731e-65,4.380474556352046e-65,1.4990102796455743e-53,4.9192827157926295e-53,6.411221003241139e-60,1.852912088010231e-58,1.589659687372614e-30,1.3835785968576262e-39,1.657921130693946e-67,1.011205867233902e-67,6.567911456240631e-40,3.0974047675271133e-40,3.150535879955825e-58,3.1264650767594976e-53,1.2803010524297299e-64,3.941442615523687e-67,1.340135848670085e-50,4.387414680327291e-40,6.24723627033073e-40,4.020418712011513e-68,2.3393370458167643e-68,8.961784230403511e-30,4.2323721635902995e-34,1.563100772544848e-42,4.046107370334402e-44,2.0412863888600553e-44,9.719025791294996e-45,3.1554608345833977e-44,1.5061109773415525e-44,1.9410888647849884e-40,2.2428479484600014e-44
8.144757695970886e-17,0.11224537200000244,0.9,0.0,0.0,0.0,0.0,0.09999999999997812,5.607165610105004e-15,5.607067543077955e-15,3.874232117450603e-15,3.874232119426966e-15,3.3555927942495243e-15,3.3555928565007827e-15,3.3555014175921917e-15,3.355501417762479e-15,2.9919843665440317e-15,2.991984981230388e-15,2.7089953258243404e-15,2.7089953272820146e-15,9.794581689725174e-20,1.1781585998959566e-22,4.982596814696178e-23,1.0797905466365968e-23,4.413621966427672e-20,3.952996807234249e-30,1.0281394678502145e-23,2.172155587874127e-26,7.944028937790623e-25,2.425901139404242e-24,7.001644551934746e-30,9.91143480730746e-25,6.528965053210128e-23,6.847042784604953e-25,4.789154572863674e-25,5.934486063989464e-25,1.212698909137714e-34,4.3586806937647406e-20,6.146806653549274e-22,2.186042460760452e-30,3.4938881223453094e-25,4.746581738123164e-27,6.921133349505925e-37,1.7060616384887783e-25,9.446397417842344e-28,1.4568379922235301e-37,1.8984153462345455e-32,9.944095363864505e-30,1.1406521073289103e-32,3.2060171445165233e-39,1.1408073914329284e-32,8.634326394653474e-39,6.793400723543885e-51,1.6605073928223264e-49,1.718610521747427e-59,6.814633176514519e-42,4.615595106601217e-53,3.013611031356563e-53,4.792874873372522e-63,3.1083244442890197e-63,1.0254461993008045e-51,1.4022092487196223e-51,2.2786483592854e-58,6.352059093258349e-57,6.636516269756192e-30,2.3299338114257337e-38,2.1378208419118343e-65,1.3943889019344248e-65,8.366958936044123e-39,7.90979954337872e-39,2.6954004069799006e-57,5.400110538193737e-52,1.590345392815534e-62,9.737882134003045e-65,2.1778172491056633e-49,5.577876650301856e-39,1.0520289230747761e-38,4.863918853036458e-66,2.90412552072686e-66,3.7411965164964674e-29,3.557411525887632e-33,7.000551596914417e-42,5.1421828271123244e-43,2.591438810465044e-43,2.473773545871158e-43,4.011131108769163e-43,3.836401621116933e-43,1.6606423912338197e-39,3.770153015832654e-43
1.6522222754683797e-16,0.11224537200000499,0.9,0.0,0.0,0.0,0.0,0.0999999999999556,1.1374535954394596e-14,1.1374136670037611e-14,7.859156578012293e-15,7.859156586100668e-15,6.807059540544606e-15,6.807059794871952e-15,6.8068743015873926e-15,6.806874302283201e-15,6.069454000702292e-15,6.069456481861936e-15,5.495390515932225e-15,5.495390521896696e-15,3.9878907286513347e-19,4.813086955628467e-22,2.035552467264743e-22,4.411294256849134e-23,8.953360770558434e-20,3.232275717983764e-29,4.200271806176694e-23,1.7752482404264173e-25,3.2453950279786307e-24,9.910563878983795e-24,5.731725955297935e-29,4.029161681343332e-24,1.3244471427027555e-22,2.7829513261098643e-24,1.947127452389993e-24,2.4136911587232887e-24,9.898763277079422e-34,8.718476033724146e-20,2.4811145519744435e-21,8.930707435292718e-30,1.408890003453608e-24,3.7868626397673713e-26,1.0913838784408405e-35,6.936191479502344e-25,7.221854090407876e-27,2.1551411756510034e-36,4.407999103126343e-32,4.062487424742045e-29,2.650487035057861e-32,2.6284865541777483e-38,2.650847849526644e-32,5.136200680926185e-38,1.607204794593427e-49,5.4052510616448634e-48,1.139409385637207e-57,1.0885698798402095e-40,1.328447044463899e-51,9.787776061494769e-52,2.8249550441847475e-61,2.0568313396463347e-61,6.6769012996819075e-50,3.819769240434078e-50,7.675115233350986e-57,2.072067004073258e-55,2.711233440482324e-29,3.814913274587073e-37,2.4549373083212867e-63,1.804209398886021e-63,9.220591967869117e-38,1.7432012930234994e-37,2.2295276559154506e-56,8.972099040133901e-51,1.961855626864154e-60,2.400166708893586e-62,3.234742786979251e-48,6.115224092385435e-38,1.7225378176910933e-37,5.718912661776188e-64,3.591356828794986e-64,1.5282571388292814e-28,2.916325308934211e-32,3.2471520544509234e-41,5.646493383552792e-42,2.8449842194989518e-42,5.452070299496435e-42,4.4070428822118164e-42,8.462737522746013e-42,1.373051243523228e-38,6.175248996175445e-42
3.3277152872109624e-16,0.11224537200001004,0.9,0.0,0.0,0.0,0.0,0.09999999999991056,2.290927665059979e-14,2.290767350261001e-14,1.5829005489698653e-14,1.5829005522507034e-14,1.3709992644340911e-14,1.370999367245767e-14,1.3709620061450477e-14,1.370962006426409e-14,1.222439326901482e-14,1.2224403063412824e-14,1.1068180889550204e-14,1.1068180913734523e-14,1.6011451632406741e-18,1.9454663376328743e-21,8.228021175186502e-22,1.7831136858733983e-22,1.8032932376772472e-19,2.612993084649036e-28,1.6978062923870567e-22,1.428629952488721e-24,1.311840559405719e-23,4.0059810281017724e-23,4.637086508253052e-28,1.612717535488118e-23,2.667548253771212e-22,1.1135250276004088e-23,7.795631001012975e-24,9.67076517625961e-24,7.946429914099105e-33,1.708006047524421e-19,9.794044818224894e-21,3.609951934996501e-29,5.550872880853117e-24,2.971567705548274e-25,1.6921879955519781e-34,2.7768975404166322e-24,5.60137946170685e-26,3.2736628397259304e-35,9.31545177437778e-32,1.6421223712891109e-28,5.602799388078003e-32,2.1286165592279593e-37,5.60356199553757e-32,2.6617016255738506e-37,3.2978928750029417e-48,1.6874710451120787e-46,7.2073530665996915e-56,1.710318646302349e-39,3.411920375517982e-50,3.0537344268266674e-50,1.476448403869509e-59,1.2971230596172533e-59,4.171217609664879e-48,9.59636335101018e-49,2.5190496689931193e-55,6.506175396810226e-54,1.095923905615834e-28,6.145556483930052e-36,2.4864519021780437e-61,2.2148114781889136e-61,9.027231443563651e-37,3.3915083699025184e-36,1.825004176419017e-55,1.462593093407436e-49,2.3970968559111127e-58,5.864477773073205e-60,4.347426837174923e-47,5.917442628080265e-37,2.7748870517252965e-36,6.421372948423842e-62,4.425320918602427e-62,6.176287188212992e-28,2.3612977355135485e-31,1.6243126940756159e-40,5.492513095330214e-41,2.771393556929362e-41,1.0653991206241514e-40,4.2925394946392187e-41,1.6548417175004917e-40,1.116542469447672e-37,9.990510936883642e-41
6.678701310696127e-16,0.11224537200002016,0.9,0.0,0.0,0.0,0.0,0.09999999999982048,4.5978758074325546e-14,4.5972397309207e-14,3.1768703275323336e-14,3.176870340813467e-14,2.7515857296762367e-14,2.7515861431441127e-14,2.7515111548662058e-14,2.751511155998364e-14,2.4534271805623886e-14,2.4534309418952892e-14,2.2213761610395005e-14,2.221376170822618e-14,6.35270546755918e-18,7.82215782329684e-21,3.3084452120591538e-21,7.169805757312767e-22,3.619281852988575e-19,2.101029891291471e-27,6.826719730072471e-22,1.1356399653568286e-23,5.274853190229278e-23,1.6107653595999306e-22,3.730153510851453e-27,6.359977110964135e-23,5.35374982120893e-22,4.388401496539534e-23,3.075880619957776e-23,3.821275894389854e-23,6.286341234149402e-32,3.2484158061263627e-19,3.7610618726046567e-20,1.451573097032798e-28,2.1239737615368963e-23,2.2749320531868898e-24,2.5444419376025535e-33,1.0955765294160572e-23,4.352461963056893e-25,5.00889763902583e-34,1.8412556470290877e-31,6.602901836908615e-28,1.1068310003503792e-31,1.7132957916278993e-36,1.1069815623378304e-31,1.2384032151569286e-36,5.948753694808095e-47,5.0095856366423714e-45,5.733062211902972e-54,2.6230819738636776e-38,7.72752274511208e-49,9.086232964815817e-49,9.002749679691144e-58,1.0309895532853092e-57,2.4785375225724546e-46,2.1492567491127854e-47,9.473512440609965e-54,1.956632489217832e-52,4.406661824705591e-28,9.775166846442583e-35,3.7635191186643193e-59,4.386435259963224e-59,8.165571357902938e-36,6.016169967482459e-35,1.6659265797894776e-54,2.361779062087744e-48,4.926154221254245e-56,2.4061927361023236e-57,5.1880924481737545e-46,5.224434137364602e-36,4.4137555247980345e-35,1.1551526575881658e-59,9.309253727606281e-60,2.4825123653188035e-27,1.89990262164739e-30,9.018574988507486e-40,4.907018263070786e-40,2.4865090644923595e-40,1.9111477338239927e-39,3.845725784557055e-40,2.9697659229731917e-39,9.00531953223939e-37,1.606674460122836e-39
1.3380673357666456e-15,0.1122453720000404,0.9,0.0,0.0,0.0,0.0,0.09999999999964033,9.211772105310625e-14,9.209287181873104e-14,6.364809869558075e-14,6.36480992349701e-14,5.512758038095476e-14,5.512759696795782e-14,5.512609439298612e-14,5.5126094438453855e-14,4.9154028878778084e-14,4.915416719044334e-14,4.450492294652e-14,4.4504923343336497e-14,2.4816862468155457e-17,3.1366661158587646e-20,1.3268297600547565e-20,2.875399993291877e-21,7.251836493116789e-19,1.6850254050893142e-26,2.7377544383989686e-21,8.892211126741052e-23,2.1154520512550647e-22,6.459713128390575e-22,2.9922253879239884e-26,2.455835106884302e-22,1.0726150338540712e-21,1.6923765807943184e-22,1.188868531091888e-22,1.4810646958529595e-22,4.876925166266882e-31,5.878756831221497e-19,1.3829161716142243e-19,5.821883540197193e-28,7.760112015446599e-23,1.6703219928339076e-23,3.6166779701296214e-32,4.233891804165998e-23,3.344129810226951e-24,7.569320963561916e-33,3.4134209237912332e-31,2.6480589628798907e-27,2.045286065911064e-31,1.374811972212601e-35,2.045563537834387e-31,5.373263139355308e-36,9.578060185032445e-46,1.3789963501058634e-43,3.2122148874839135e-52,3.863042750610976e-37,1.553219010627444e-47,2.524079537955193e-47,3.6658830425620066e-56,5.789567462617678e-56,1.3662329821574222e-44,4.226838623848101e-46,3.0610841277125654e-52,5.533460399729785e-51,1.767268485145399e-27,1.5313010153904578e-33,2.789093508528537e-57,4.487861710630714e-57,7.093209864430696e-35,1.0001601311748324e-33,3.470801878143086e-53,3.795591212458108e-47,5.495852057607132e-54,5.379391802537167e-55,5.4664055120039476e-45,4.326962887819901e-35,6.914243418716364e-34,1.0612142587766521e-57,1.0834742455455704e-57,9.948398870070258e-27,1.5234680853169297e-29,5.580736133747221e-39,4.163417643918365e-39,2.129384961154592e-39,3.251995989435473e-38,3.2815927726757237e-39,5.054531710393612e-38,7.23356241307837e-36,2.575799251950357e-38
