Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124),S(1122),C4F10(82),S(871),S(870)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9255117526039875e-18,0.1122453720000001,0.9,0.0,0.0,0.0,0.0,0.09999999999999923,2.0140352236601208e-16,2.01403334685835e-16,1.3915836442503442e-16,1.3915836442879854e-16,1.2052938460649488e-16,1.2052938472525066e-16,1.2052610038354796e-16,1.2052610038387285e-16,1.0746894818324398e-16,1.0746894936927947e-16,9.730427794419982e-17,9.730427794697662e-17,1.87448981507564e-22,2.2476766207132773e-25,9.505601927138258e-26,2.0599820791425384e-26,1.5853260562378279e-21,4.690997774001197e-34,1.9614490238367327e-26,2.557451766849271e-30,1.5155299162874678e-27,4.628051428218648e-27,8.269848239121124e-34,1.899639660526743e-27,2.345136028986931e-24,1.3125286818376973e-27,9.177822413176699e-28,1.1368698227164336e-27,1.4294694098976254e-38,1.5864851553960527e-21,1.1860343517305742e-24,4.170442302716456e-33,6.747847711482271e-28,8.205045490013693e-31,9.149206602733424e-42,3.2695209899833436e-28,3.2563274264926594e-31,4.1433436268394335e-42,1.0525850884364903e-34,1.897094550892438e-32,6.302178311474901e-35,3.7635726474004095e-43,6.303036278560852e-35,1.0665007031827507e-42,4.344816140684833e-57,4.85293145363456e-56,5.915536402155485e-67,7.720957022782881e-47,1.5519044896741338e-59,8.899730500582867e-60,1.168432272994172e-70,6.6973923616993365e-71,3.060062673399031e-59,1.3458694717955545e-57,6.645752089183865e-65,1.9792762172410113e-63,1.2660879037632997e-32,1.8023054785059566e-43,6.322321457371073e-74,3.625689235055695e-74,1.1829801668545192e-43,7.604630215013649e-45,2.14486419353487e-61,2.4348951284393878e-57,7.851156329589462e-71,4.955305934702814e-74,1.1032324862958505e-54,7.909861086324325e-44,8.137902813982704e-44,2.5291695892937447e-74,1.4403833908618986e-74,7.137898192997795e-32,4.176401010505754e-37,1.1658616420363985e-44,7.315128930897037e-48,3.7016848109806416e-48,2.4686522085373866e-49,5.704395246989119e-48,3.849340316480401e-49,1.3214738201240164e-43,2.9391159103984464e-48,2.4748355137223032e-48
8.191432907291165e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.0999999999999978,5.639298626321637e-16,5.639287292708383e-16,3.8964342038077456e-16,3.896434204035124e-16,3.3748227651413893e-16,3.374822772314256e-16,3.374730810659076e-16,3.374730810678695e-16,3.009130549130792e-16,3.0091306207157327e-16,2.724519782372423e-16,2.7245197825401555e-16,1.1319648871635496e-21,1.3575954140084856e-24,5.741383412583799e-25,1.2442291349713712e-25,4.438912980676717e-21,5.5603411974916884e-33,1.184714985518719e-25,3.03564788597887e-29,9.153800694309349e-27,2.7953424996055107e-26,9.80915204019401e-33,1.1470454057399084e-26,6.566380864993134e-24,7.925262721422014e-27,5.541820527557985e-27,6.864885170389907e-27,1.6966310461000514e-37,4.4383208479940934e-21,7.1584834156561e-24,2.5189471618314725e-32,4.072517055958478e-27,8.138808208646556e-30,1.626114288210913e-40,1.9742238277407558e-27,2.533670916637879e-30,5.880640982432141e-41,5.713696864736323e-34,1.1458451087515686e-31,3.422795320070485e-34,4.468113446963941e-42,3.423261292979349e-34,1.5598297006956873e-41,2.1480776164794872e-55,2.948380261375581e-54,3.452674350586536e-65,1.4557625502182234e-45,9.337807993759726e-58,5.3986997272132196e-58,8.923599707230788e-69,5.155300125079699e-69,2.5578715224841146e-57,5.364361581777983e-56,3.1747555219986027e-63,1.1386608704764879e-61,7.647170938745045e-32,4.030956432447733e-42,6.050283504378218e-72,3.498676038466026e-72,2.518086449679877e-42,2.977984508120409e-43,3.241315860572144e-60,7.655689578799114e-56,6.741996212874993e-69,6.059770655024676e-72,3.443044074757781e-53,1.6836019326486107e-42,1.8200872208072453e-42,2.164151206454118e-72,1.2358912205392262e-72,4.311270014389367e-31,4.9582016955286784e-36,7.108903733207073e-44,1.5559498567339039e-46,7.868475950706396e-47,9.508833546371157e-48,1.2133448980446793e-46,1.4764042110168396e-47,1.9970112370393162e-42,6.5647150129056015e-47,5.260594172670464e-47
1.872327521666552e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999497,1.288982543193813e-15,1.2889770888570697e-15,8.906135322549678e-16,8.906135323644653e-16,7.713880587932404e-16,7.713880622466857e-16,7.713670423985197e-16,7.713670424079656e-16,6.878012683727338e-16,6.87801302785352e-16,6.227473787972585e-16,6.227473788780305e-16,5.4476133216402216e-21,6.5362246467893e-24,2.764228813300252e-24,5.990427273685716e-25,1.014608704164356e-20,5.444948430279093e-32,5.70389038945639e-25,2.9792347530743098e-28,4.4071609964636616e-26,1.3458365107684915e-25,9.616454597096599e-32,5.519100844354529e-26,1.5008870472324463e-23,3.8132198164121715e-26,2.6665357924267163e-26,3.3033060263249123e-26,1.664841654531767e-36,1.012668308639354e-20,3.4412528802834545e-23,1.2127646494090468e-31,1.9575070753961628e-26,7.153064767609701e-29,2.7367276426025126e-39,9.499269136330414e-27,1.7967286834354434e-29,7.808380489300646e-40,2.2578060144134025e-33,5.5167509541833175e-31,1.3536989187357859e-33,4.386820277717578e-41,1.3538832085508325e-33,1.5666569852015592e-40,8.124550128502777e-54,1.327144451579877e-52,3.1984534366755116e-63,2.568751368296713e-44,4.116886971852283e-56,2.423930800981634e-56,9.509757694159738e-67,5.589347914470772e-67,2.1040872122461526e-55,1.7155889973892595e-54,1.653088618307645e-61,5.093266532853537e-60,3.681783624165778e-31,7.961342684854797e-41,1.1573860450215976e-69,6.814978371544867e-70,4.4980022267268726e-41,1.0635292078974049e-41,3.4868531009894647e-59,1.7079357767552656e-54,1.0287677355020589e-66,1.6363966915968497e-69,7.556682582641594e-52,3.006759454809327e-41,3.594764251005689e-41,3.276941655554471e-70,1.8828470524622425e-70,2.0756691048320917e-30,4.867944109278488e-35,3.4890239904013714e-43,2.7758371719511397e-45,1.4022401871013357e-45,3.3587428523824797e-46,2.1646615881307006e-45,5.205224085803869e-46,2.1482935601233688e-41,1.2937667511936647e-45,9.374592897854274e-46
3.978695983541423e-17,0.1122453720000012,0.9,0.0,0.0,0.0,0.0,0.0999999999999893,2.7390879044347126e-15,2.739064104186552e-15,1.8925537558542055e-15,1.892553756332625e-15,1.6391996172066985e-15,1.6391996322889603e-15,1.6391549649353143e-15,1.6391549649765686e-15,1.46157769529198e-15,1.4615778451220642e-15,1.3233381798130154e-15,1.3233381801659095e-15,2.377088369452382e-20,2.854529724901564e-23,1.2072112100646449e-23,2.616176607634962e-24,2.156043696447668e-20,4.800023352726141e-31,2.4910367787398214e-24,2.6330001039792775e-27,1.9247229935817258e-25,5.87761658675059e-25,8.489669352778376e-31,2.4073287900987253e-25,3.189384942826297e-23,1.6631818901889676e-25,1.1631321003734574e-25,1.4410258065108922e-25,1.4708982592648058e-35,2.144249882462352e-20,1.4982935998788407e-22,5.296462244619626e-31,8.520659509644502e-26,5.952747560144849e-28,4.436418259257744e-38,4.143520499300907e-26,1.2906677436726797e-28,1.0517845389086015e-38,7.182295335598936e-33,2.4093100798279608e-30,4.310922354640615e-33,3.880092856370527e-40,4.31150923307222e-33,1.2695413595581892e-39,2.557443754912118e-52,4.981780085853881e-51,2.5159163553979697e-61,4.2899854781966785e-43,1.4860696675875134e-54,9.069669476002397e-55,7.45349389411263e-65,4.532860747623796e-65,1.5510900093371578e-53,5.053020648885918e-53,6.597042723863891e-60,1.9065067493932295e-58,1.6079316378023344e-30,1.415555044394241e-39,1.7239221872299986e-67,1.0518810524890564e-67,6.707384074730624e-40,3.1813125054439355e-40,3.205011238908454e-58,3.1987506337027648e-53,1.3303315504624067e-64,4.1185342854500124e-67,1.3706296097366776e-50,4.480540858062847e-40,6.39161868799355e-40,4.17686410105503e-68,2.430724780621734e-68,9.064790932343579e-30,4.30555235763745e-34,1.581696097533453e-42,4.131959328031924e-44,2.084577110046744e-44,9.981915371474673e-45,3.2224178444934746e-44,1.5468559973431753e-44,1.974651900419583e-40,2.294638834959472e-44,1.393462189315068e-44
8.191432907291165e-17,0.1122453720000025,0.9,0.0,0.0,0.0,0.0,0.09999999999997798,5.639298627388623e-15,5.639199435064843e-15,3.896434202456088e-15,3.896434204455188e-15,3.3748227094546425e-15,3.374822772421449e-15,3.374730809495172e-15,3.3747308096674176e-15,3.009130549130219e-15,3.009131170839136e-15,2.724519781427428e-15,2.7245197829018698e-15,9.90697202659933e-20,1.1917005462635786e-22,5.0398680296319195e-23,1.0922019287730662e-23,4.438915161137532e-20,4.021245502051166e-30,1.0399571439500994e-23,2.209674031255352e-26,8.035339615230933e-25,2.4537850128757168e-24,7.12260679016671e-30,1.0025076448600732e-24,6.566380630524547e-23,6.925542103184557e-25,4.8440692890330525e-25,6.002546572337649e-25,1.2336363963659314e-34,4.383309020151318e-20,6.217031292242315e-22,2.2111693956990572e-30,3.533784210061478e-25,4.827494727662122e-27,7.078541477081274e-37,1.7256239415953117e-25,9.602577393802717e-28,1.488877059330175e-37,1.9122246866524464e-32,1.0058395310586272e-29,1.1489580872376272e-32,3.261451838725825e-39,1.149114502064802e-32,8.764298579222863e-39,6.973876062329902e-51,1.7084099113429833e-49,1.7782988380807526e-59,6.970454812285506e-42,4.745089352904654e-53,3.100475887347836e-53,4.955777574525564e-63,3.216265558656817e-63,1.0610629474782482e-51,1.4406110470861428e-51,2.344692309196594e-58,6.5354200911768e-57,6.71279806596157e-30,2.3837603991364076e-38,2.222450549847964e-65,1.4506595545637735e-65,8.536484406930176e-39,8.1163089559601e-39,2.742007657995632e-57,5.5249635347282255e-52,1.6535488730635182e-62,1.0182702925465964e-64,2.2266624006025478e-49,5.690741513123143e-39,1.0763331015114424e-38,5.055752002765786e-66,3.0195553685925153e-66,3.7841967692030236e-29,3.618920327092087e-33,7.086389621186025e-42,5.246248869764904e-43,2.643866978312077e-43,2.5383233819514165e-43,4.092319009421699e-43,3.936536964096529e-43,1.6893562748533524e-39,3.857221011159018e-43,1.766665494976751e-43
1.661690675479065e-16,0.112245372000005,0.9,0.0,0.0,0.0,0.0,0.09999999999995533,1.143972007519847e-14,1.143931621693045e-14,7.904195093273481e-15,7.904195101454988e-15,6.846068795634707e-15,6.84606905288548e-15,6.845882496559878e-15,6.845882497263687e-15,6.1042362568056875e-15,6.104238766141332e-15,5.526882982987846e-15,5.526882989020982e-15,4.0335728981902846e-19,4.868408926324293e-22,2.0589496115507903e-22,4.461998760194062e-23,9.004670052996417e-20,3.288104966418163e-29,4.248550638194035e-23,1.805878591831331e-25,3.282698419100362e-24,1.0024478015494434e-23,5.830772585832251e-29,4.075244087247332e-24,1.3320371591966596e-22,2.8147749790523782e-24,1.9694001344272533e-24,2.4413111682938902e-24,1.006941491792481e-33,8.767043386706337e-20,2.509289784552394e-21,9.033359410062713e-30,1.4248732792686185e-24,3.851476005202149e-26,1.116253263566352e-35,7.015531076283463e-25,7.343538041736472e-27,2.2035202959629435e-36,4.4363439533661813e-32,4.109182682506532e-29,2.6675418917339595e-32,2.6739352657069447e-38,2.667905027707305e-32,5.208206285092495e-38,1.648314317307512e-49,5.560473062252462e-48,1.1788728201114732e-57,1.1134866033305277e-40,1.3648321626814397e-51,1.0068721539132124e-51,2.919140775940834e-61,2.1280206676214054e-61,6.908003523358985e-50,3.9232753930637065e-50,7.897569445712297e-57,2.13164645487477e-55,2.742397043247585e-29,3.902976175737903e-37,2.5506272946772336e-63,1.876905310113737e-63,9.398386720809821e-38,1.7869486648947763e-37,2.268101301771944e-56,9.179536488347459e-51,2.0404968171252808e-60,2.5106728124056414e-62,3.305513361710157e-48,6.232743566921634e-38,1.7623006292232463e-37,5.94504306772733e-64,3.7354671687589726e-64,1.545821642981503e-28,2.966747997970456e-32,3.2889057174578586e-41,5.75515042850234e-42,2.8997424484999495e-42,5.5889867335297063e-42,4.491880845483143e-42,8.675317804415589e-42,1.396792437789902e-38,6.317901202869505e-42,1.935752962616703e-42
3.3467854449789616e-16,0.1122453720000101,0.9,0.0,0.0,0.0,0.0,0.09999999999991004,2.3040562978533026e-14,2.3038941528018755e-14,1.591971686536277e-14,1.5919716898549566e-14,1.3788560574732093e-14,1.378856161466726e-14,1.3788185862468553e-14,1.3788185865314514e-14,1.2294447672152583e-14,1.2294457576472278e-14,1.1131609379435058e-14,1.1131609403898216e-14,1.6194246574397573e-18,1.967827325339375e-21,8.322596046109766e-22,1.803609222528296e-22,1.8136275451408458e-19,2.6581446690485494e-28,1.7173211838568972e-22,1.4532278102308123e-24,1.326919186521869e-23,4.0520264705420085e-23,4.717236037623084e-28,1.6310718176721724e-23,2.682835185908566e-22,1.1261936280485164e-23,7.884376136547816e-24,9.780939127048737e-24,8.083023553801896e-33,1.7172562388529917e-19,9.903960518303294e-21,3.651445900708865e-29,5.613048450739199e-24,3.0219993176041185e-25,1.730559634270801e-34,2.808508296396994e-24,5.696523731604837e-26,3.347857232639275e-35,9.369909332289503e-32,1.660997341081306e-28,5.635551669173429e-32,2.1654221041512365e-37,5.636318732904504e-32,2.6964704391353662e-37,3.3788007417739213e-48,1.735508897541651e-46,7.455399016781372e-56,1.7493225977622454e-39,3.502255574947609e-50,3.1406789879564954e-50,1.5243476405109469e-59,1.3417300811925598e-59,4.314560314020213e-48,9.849384783155542e-49,2.592061368874383e-55,6.691871644629299e-54,1.1085207321181206e-28,6.28719609580864e-36,2.5809680350101618e-61,2.3034222376633923e-61,9.194420003392337e-37,3.4737690193870336e-36,1.856856143908173e-55,1.4964081667180364e-49,2.4933097717145702e-58,6.134812957258799e-60,4.438992944173378e-47,6.026207805357414e-37,2.838841215346196e-36,6.673113154803521e-62,4.603427670526092e-62,6.247265399727879e-28,2.402121649699162e-31,1.6465663848362609e-40,5.59383191775196e-41,2.8225772400424965e-41,1.0913052120543804e-40,4.3717914096284487e-41,1.6950881881591417e-40,1.1358484143710996e-37,1.0221360360643623e-40,1.8800296415321543e-41
6.716974983978755e-16,0.11224537200002027,0.9,0.0,0.0,0.0,0.0,0.09999999999981944,4.6242248816886615e-14,4.623581591656823e-14,3.195076037135944e-14,3.1950760505707457e-14,2.7673542559880222e-14,2.7673546742091623e-14,2.7672792561397514e-14,2.7672792572849325e-14,2.4674870502830207e-14,2.4674908528873603e-14,2.234106214563498e-14,2.234106224459733e-14,6.424747954909832e-18,7.912062227743914e-21,3.3464732494384803e-21,7.252217132997971e-22,3.640024190095805e-19,2.1373454681617408e-27,6.905186803977264e-22,1.1551121112766905e-23,5.335483686643292e-23,1.6292796492201316e-22,3.794637484518183e-27,6.431662281059039e-23,5.384430577109147e-22,4.4378310083510344e-23,3.1105675935282514e-23,3.864431866409686e-23,6.393780976954826e-32,3.265060186747e-19,3.802328764230744e-20,1.468258264889755e-28,2.147193597186255e-23,2.3130172521905086e-24,2.601351280286622e-33,1.1079304260492671e-23,4.426383920751239e-25,5.12251301755705e-34,1.8511188275948794e-31,6.678797260381524e-28,1.1127480607695639e-31,1.7429200961766952e-36,1.1128994262113684e-31,1.25372120503754e-36,6.089013269274186e-47,5.1499238602205013e-45,5.927952000197332e-54,2.6823199708703185e-38,7.924296877717132e-49,9.341134253229507e-49,9.28574752900043e-58,1.066032581006006e-57,2.5625905128205064e-46,2.2037507777380467e-47,9.748091086489657e-54,2.0117509853859467e-52,4.457313110055757e-28,9.999760872564062e-35,3.9017516749404293e-59,4.558917740694426e-59,8.313082836859995e-36,6.158434572215811e-35,1.6993580626394358e-54,2.41638151334421e-48,5.122512874062905e-56,2.5164436592868052e-57,5.2921678896636136e-46,5.317337044115087e-36,4.515165878064026e-35,1.1995584849804124e-59,9.68273133703979e-60,2.511036033670975e-27,1.932745639754726e-30,9.150834188906391e-40,4.994966829899853e-40,2.531205741122843e-40,1.9565996776911273e-39,3.9147799712174795e-40,3.040402397996158e-39,9.161028972591671e-37,1.6438047366693183e-39,1.6780168364753079e-40
1.345735406197834e-15,0.1122453720000406,0.9,0.0,0.0,0.0,0.0,0.09999999999963825,9.264562062649958e-14,9.262049323248223e-14,6.40128472306253e-14,6.401284777628994e-14,5.544350023802465e-14,5.5443517015739996e-14,5.544200582766048e-14,5.5442005873651557e-14,4.943571616412077e-14,4.943585593180719e-14,4.475996757125682e-14,4.4759967972684444e-14,2.5094649465588093e-17,3.172715573909405e-20,1.3420806218652819e-20,2.908450419683473e-21,7.293404669476443e-19,1.7141554569053784e-26,2.769222139485812e-21,9.043454458348735e-23,2.139767592057314e-22,6.533960660531115e-22,3.043957204639455e-26,2.4830032103997414e-22,1.0787618711899e-21,1.711074664044408e-22,1.202033503614477e-22,1.4975113026005827e-22,4.959362587634991e-31,5.905814419723938e-19,1.3974730959427378e-19,5.888808242983642e-28,7.841268668701741e-23,1.6975611301492004e-23,3.695376577688782e-32,4.280768578112079e-23,3.4004545414960575e-24,7.7396505164996e-33,3.4297799538465105e-31,2.678496422274157e-27,2.054979453309925e-31,1.398583610918723e-35,2.055258228064495e-31,5.4374872588654834e-36,9.795296421493229e-46,1.416576310773363e-43,3.3191072024027053e-52,3.948657564713995e-37,1.5913913879866973e-47,2.5931919003154954e-47,3.77777461316106e-56,5.982562770550864e-56,1.4115256265674538e-44,4.329487360737248e-46,3.1498060605540965e-52,5.686057266074487e-51,1.787581916017682e-27,1.5662724509834246e-33,2.887787568703728e-57,4.659328516687183e-57,7.220081169589422e-35,1.0233613288036264e-33,3.581146632452742e-53,3.8833374088555014e-47,5.711074964923301e-54,5.622099866006978e-55,5.570738756383043e-45,4.4019967316614493e-35,7.072149026899834e-34,1.1007948385492724e-57,1.1264338542122036e-57,1.0062660400650286e-26,1.5497974770207373e-29,5.667377990539586e-39,4.236782020253594e-39,2.1671405364541437e-39,3.3283197844979987e-38,3.339636561427932e-39,5.1731679732172e-38,7.35863670422074e-36,2.635323585115016e-38,1.4230008764467422e-39
