Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110),S(1526),C3HF7(188),S(1015),S(1528),S(1524),S(1017),S(1013),S(634),S(986),S(1640),S(1840),S(1097),S(1014),S(1016),S(1642),S(1638),C5F10(63),S(1011),CHO2(367),S(1123),S(872),S(869),S(1124),S(1122),C4F10(82),S(871),S(870),S(1125),C4HF8(158)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.95856943186031e-18,0.11224537200000008,0.9,0.0,0.0,0.0,0.0,0.0999999999999992,2.036793406181926e-16,2.0367914867300668e-16,1.4073082523391897e-16,1.4073082523776866e-16,1.2189134178536243e-16,1.2189134190681742e-16,1.2188802045270011e-16,1.2188802045303235e-16,1.0868332512631843e-16,1.0868332633929928e-16,9.840379621057392e-17,9.840379621341379e-17,1.9170873581615215e-22,2.2987601552058614e-25,9.721638331572939e-26,2.1067998528594073e-26,1.603239913671223e-21,4.851716538225404e-34,2.006027406285234e-26,2.6451249118119645e-30,1.5499737780211423e-27,4.733234404066525e-27,8.553263879334256e-34,1.9428066106358836e-27,2.3716355822438414e-24,1.3423541013200088e-27,9.386377886396433e-28,1.1627041886474389e-27,1.4784723230210435e-38,1.604398567208788e-21,1.2129794388328692e-24,4.2652250824801235e-33,6.901144773370416e-28,8.454637148776672e-31,9.523040190514357e-42,3.3438170499538705e-28,3.341570103397296e-31,4.296103363656099e-42,1.07511720675131e-34,1.9402103361402406e-32,6.437128315388272e-35,3.8926025200956896e-43,6.438004654317591e-35,1.10258741286837e-42,4.5767512527288573e-57,5.133290922493167e-56,6.274206708819711e-67,8.045722213227243e-47,1.6413383620993088e-59,9.413672281406926e-60,1.249738888626645e-70,7.164208807302418e-71,3.2483438628331685e-59,1.412316417915282e-57,7.02981230702163e-65,2.0936261740246322e-63,1.294862628848859e-32,1.885154837072994e-43,6.8130839421650155e-74,3.907570802910042e-74,1.2365230604712334e-43,8.037903229943726e-45,2.218398433860009e-61,2.546829817620288e-57,8.426960672428108e-71,5.337673880022005e-74,1.1538323244195332e-54,8.267865347314043e-44,8.511990357020527e-44,2.7145156120463645e-74,1.5459942862195999e-74,7.300122752479924e-32,4.319584004867813e-37,1.1924435579388072e-44,7.646137797845032e-48,3.869148979739539e-48,2.6082892617182022e-49,5.96251861390056e-48,4.066637504866862e-49,1.366779069884713e-43,3.074162326834179e-48,2.586796927442549e-48,2.252949651486067e-48,2.6496643146540854e-31
8.283994409208868e-18,0.11224537200000026,0.9,0.0,0.0,0.0,0.0,0.09999999999999779,5.70302153738436e-16,5.703009946242364e-16,3.940463106454395e-16,3.940463106686942e-16,3.4129575660623935e-16,3.412957573398297e-16,3.412864572593512e-16,3.4128645726135766e-16,3.0431331035368707e-16,3.0431331767475453e-16,2.7553062938294166e-16,2.755306294000962e-16,1.1576860236209063e-21,1.3884498254845344e-24,5.871869395671495e-25,1.2725070688965238e-25,4.489071782285817e-21,5.7507725939492605e-33,1.2116403208094e-25,3.139707761750461e-29,9.361841619178468e-27,2.8588729977144864e-26,1.0145249143841828e-32,1.173106695033139e-26,6.640579613744978e-24,8.105325638066672e-27,5.667733735862402e-27,7.020862752344812e-27,1.754787309600864e-37,4.4883912759082985e-21,7.321054823628713e-24,2.576195961313906e-32,4.164999441323228e-27,8.398601550496892e-30,1.6952966355657318e-40,2.019079219653345e-27,2.6045857668303694e-30,6.106193064002198e-41,5.829976739106763e-34,1.1718870430416716e-31,3.492490980066319e-34,4.6212977118264165e-42,3.492966441205819e-34,1.6120440039067324e-41,2.2652303610322074e-55,3.118665166899986e-54,3.6782124262574807e-65,1.519088649577891e-45,9.874754483004546e-58,5.710309968204943e-58,9.543485154453617e-69,5.514500556972667e-69,2.7287733194403636e-57,5.638338230502061e-56,3.358225696780256e-63,1.2044299248116927e-61,7.820970278262342e-32,4.2162450260001585e-42,6.524086650840295e-72,3.7734409284838057e-72,2.630702276992765e-42,3.1461881304949373e-43,3.352440671390515e-60,8.007629556682493e-56,7.242222338407693e-69,6.560856379638207e-72,3.6006607937795637e-53,1.75889437253923e-42,1.9037500951084943e-42,2.3245118593194605e-72,1.3275595511978669e-72,4.409252932516337e-31,5.1281875401510195e-36,7.271758765844555e-44,1.625509242426645e-46,8.220120090708412e-47,1.0043602007432377e-47,1.267588122764879e-46,1.5593559757615093e-47,2.065476530480808e-42,6.866267817519823e-47,5.495690150590235e-47,5.035378867585896e-47,1.6003972452466038e-30
1.8934844363905984e-17,0.11224537200000059,0.9,0.0,0.0,0.0,0.0,0.09999999999999493,1.303547780008936e-15,1.3035422017623597e-15,9.006772814303462e-16,9.006772815423329e-16,7.801045846768915e-16,7.801045882088321e-16,7.800833308398166e-16,7.80083330849477e-16,6.955732808084067e-16,6.955733160019502e-16,6.297842957010159e-16,6.29784295783624e-16,5.571370345776174e-21,6.684774915066663e-24,2.8270521919235826e-24,6.126573338656821e-25,1.0260735738872796e-20,5.631347030925704e-32,5.833524210054055e-25,3.0813470330637938e-28,4.5073237463817694e-26,1.3764236911903562e-25,9.945868571560495e-32,5.644457242219936e-26,1.5178467610596152e-23,3.899828311116197e-26,2.7271023397744055e-26,3.3783394453035597e-26,1.7218975076388303e-36,1.0240720456118523e-20,3.5193443255202323e-23,1.2403274830410613e-31,2.001922640866799e-26,7.388866094927385e-29,2.8569846727427294e-39,9.715030876958665e-27,1.8506373761254987e-29,8.123313573293144e-40,2.299908923377843e-33,5.642131657690383e-31,1.378963935552642e-33,4.537217497326973e-41,1.3791516648905322e-33,1.6179655695535563e-40,8.570611114843435e-54,1.4037478940380401e-52,3.418035504998305e-63,2.6832481393453036e-44,4.3525261885316885e-56,2.563718877296745e-56,1.0167939214012543e-66,5.978520666552805e-67,2.2492349527933566e-55,1.8063270540358687e-54,1.748621157940142e-61,5.387299451376802e-60,3.765460524715357e-31,8.327259881059055e-41,1.2493479953021157e-69,7.359476299958148e-70,4.694606758866897e-41,1.122542848862944e-41,3.606395810377977e-59,1.7864512769181205e-54,1.1073197635284701e-66,1.779738481287428e-69,7.901189903450149e-52,3.1381641919504574e-41,3.759985886110457e-41,3.52655765464364e-70,2.026556787372703e-70,2.1228428963166073e-30,5.03483498724781e-35,3.569707521487637e-43,2.897095810744321e-45,1.4634658837208397e-45,3.544637685606583e-46,2.259223078058986e-45,5.493247349465649e-46,2.2219453985646505e-41,1.3531771254144944e-45,9.783903937569356e-46,9.934541945157983e-46,7.705223814947128e-30
4.023654427330022e-17,0.11224537200000123,0.9,0.0,0.0,0.0,0.0,0.0999999999999892,2.7700390326702146e-15,2.7700146919697496e-15,1.9139392228476213e-15,1.9139392233369193e-15,1.6577222345337907e-15,1.6577222499588682e-15,1.6576770778693988e-15,1.6576770779115904e-15,1.4780932217177743e-15,1.4780933749426775e-15,1.3382916282305191e-15,1.3382916285914368e-15,2.43106685895712e-20,2.919405142703873e-23,1.2346478253820335e-23,2.675635158557921e-24,2.180406551464659e-20,4.964309789153142e-31,2.5476512051598767e-24,2.7232208350003406e-27,1.9684666979799724e-25,6.0111986668791715e-25,8.780451064676529e-31,2.4619722334338334e-25,3.2254243339694255e-23,1.7009324272963183e-25,1.1895346762997196e-25,1.4737395714568885e-25,1.521288399304824e-35,2.1683092917517417e-20,1.5322412102334851e-22,5.416836398822355e-31,8.713667155207234e-26,6.152407949288114e-28,4.635160024219401e-38,4.2375760466289645e-26,1.3315383910077761e-28,1.0962228359701542e-38,7.300659389566048e-33,2.464067127099346e-30,4.382044200619592e-33,4.013117493915609e-40,4.382640761357823e-33,1.3095824026056958e-39,2.6963719493698778e-52,5.268984568956762e-51,2.6904636651979114e-61,4.483811107504212e-43,1.5704054542442453e-54,9.592028849037107e-55,7.965856529256566e-65,4.848134452366337e-65,1.6588358069728925e-53,5.326746796868141e-53,6.97828801131446e-60,2.0164540733020183e-58,1.644475538661797e-30,1.4806031796241124e-39,1.8614628549963506e-67,1.1367022662679321e-67,6.990186815753074e-40,3.3529217064282206e-40,3.314891428665718e-58,3.3458000867607387e-53,1.434509233345957e-64,4.4903993225506895e-67,1.4326215034489934e-50,4.669364991430857e-40,6.685328832701084e-40,4.5025406482843176e-68,2.621017355536869e-68,9.270804216244458e-30,4.453161285424108e-34,1.618918728383062e-42,4.306032847390214e-44,2.1723520986532344e-44,1.0519554930206112e-44,3.3581802421077113e-44,1.6301850344941161e-44,2.0423506290542916e-40,2.399991798285127e-44,1.452131569437264e-44,1.764492328378706e-44,3.365073667141506e-29
8.283994409208868e-17,0.1122453720000025,0.9,0.0,0.0,0.0,0.0,0.09999999999997775,5.7030215384756516e-15,5.702920095655432e-15,3.9404631050720194e-15,3.940463107116595e-15,3.412957509109976e-15,3.412957573508017e-15,3.412864571403156e-15,3.4128645715793165e-15,3.0431331035362237e-15,3.0431337392882403e-15,2.755306292862944e-15,2.7553062943709233e-15,1.013174299707192e-19,1.21878443358945e-22,5.154410458850866e-23,1.1170246928700381e-23,4.489074037418955e-20,4.158902766190256e-30,1.0635924951883104e-23,2.285348340441964e-26,8.217960970111419e-25,2.5095527573924385e-24,7.366590539846418e-30,1.0252345378303392e-24,6.640579373947569e-23,7.082530476561463e-25,4.953891971087184e-25,6.13865987601342e-25,1.2758664907457949e-34,4.4321377430555e-20,6.357458937800189e-22,2.2614232662642525e-30,3.6135630836241842e-25,4.99065089332035e-27,7.398599483903951e-37,1.7647461325915392e-25,9.917352558055094e-28,1.5539682546996367e-37,1.9396273331498357e-32,1.0286995204030371e-29,1.1654402470147558e-32,3.3732670619096494e-39,1.1655989056168574e-32,9.025393783754419e-39,7.342705354533662e-51,1.8066669529709092e-49,1.9017787027643234e-59,7.287336072843592e-42,5.0103496162876475e-53,3.2786464046223184e-53,5.292362858116448e-63,3.439563722015781e-63,1.1347444082578034e-51,1.5192150904552877e-51,2.4801928555474786e-58,6.911539878218032e-57,6.865361658372527e-30,2.493255372295791e-38,2.398734529208713e-65,1.5680173570870227e-65,8.879701679446499e-39,8.538028884327107e-39,2.836017579092714e-57,5.778950122460503e-52,1.7852687837392886e-62,1.1117643052373832e-64,2.3259040559866104e-49,5.91923233022951e-39,1.1257730805476337e-38,5.455348183314395e-66,3.2601218154396627e-66,3.870197171400378e-29,3.7429872780164547e-33,7.258338827329506e-42,5.456929898540152e-43,2.7500069268952473e-43,2.6701417559064203e-43,4.256684396273249e-43,4.141027522647864e-43,1.7472739625255017e-39,4.034335839152033e-43,1.837571677388576e-43,2.970364799708644e-43,1.404852008407334e-28
1.6804674372966562e-16,0.11224537200000506,0.9,0.0,0.0,0.0,0.0,0.09999999999995485,1.156898655203209e-14,1.1568573546730744e-14,7.993510867080206e-15,7.993510875447992e-15,6.923427957711967e-15,6.9234282208101705e-15,6.923239556368954e-15,6.923239557088761e-15,6.173212867171979e-15,6.173215432843004e-15,5.589335620421469e-15,5.589335626591944e-15,4.1249293491394534e-19,4.979052823727789e-22,2.1057438995878967e-22,4.5634077654412355e-23,9.106421380825451e-20,3.4007136336383035e-29,4.345108294410683e-23,1.8676574772437996e-25,3.357305201343722e-24,1.0252306268624187e-23,6.030553385639108e-29,4.1673972767498605e-24,1.3470889030541451e-22,2.8784139774235994e-24,2.0139400306218914e-24,2.496544933835373e-24,1.0413595457242147e-33,8.86331128833729e-20,2.565623041815025e-21,9.238663370837827e-30,1.4568292755523126e-24,3.981758270402337e-26,1.1668192589954058e-35,7.174190707090287e-25,7.588862216285108e-27,2.3018585498143732e-36,4.492538901960614e-32,4.2025731980359624e-29,2.7013539154350545e-32,2.765608141250613e-38,2.7017216538851614e-32,5.352621030792339e-38,1.7321993534558415e-49,5.878790002450187e-48,1.2604981611193254e-57,1.1641564844477238e-40,1.4392831942634838e-51,1.064485453034569e-51,3.113543011723623e-61,2.2752617317109187e-61,7.385990602700298e-50,4.135005104962022e-50,8.353972603813832e-57,2.2538351301154635e-55,2.80472424877827e-29,4.082109251491727e-37,2.749751108061317e-63,2.0284968299867514e-63,9.757848424773283e-38,1.876157489045346e-37,2.3459095636767683e-56,9.60152326230729e-51,2.2044551327001122e-60,2.74303759895191e-62,3.4491652516328493e-48,6.470310925546188e-38,1.8431841187548858e-37,6.416086194178862e-64,4.035944261292709e-64,1.580950565929145e-28,3.0684534900600817e-32,3.3726381050690457e-41,5.974814905147034e-42,3.010445030174981e-42,5.868195978833356e-42,4.6633944508056005e-42,9.10882980464974e-42,1.444679902012077e-38,6.608089211096232e-42,2.0096056932009448e-42,4.8710342364129793e-42,5.739278797098217e-28
3.384603430048195e-16,0.1122453720000102,0.9,0.0,0.0,0.0,0.0,0.09999999999990904,2.3300916587037578e-14,2.329925853775488e-14,1.609960638133415e-14,1.6099606415277832e-14,1.3944368452714986e-14,1.394436951628934e-14,1.394398951789296e-14,1.3943989520803627e-14,1.2433372394438916e-14,1.24333825184731e-14,1.1257394268713222e-14,1.1257394293734108e-14,1.6559773648121955e-18,2.0125492657045762e-21,8.511745783623823e-22,1.8446002946697706e-22,1.8341214942820626e-19,2.749217133029414e-28,1.7563509605695716e-22,1.502836135323925e-24,1.3570764407540957e-23,4.1441173393140735e-23,4.878901510357379e-28,1.667771199095743e-23,2.7131506650334777e-22,1.151524270710622e-23,8.061823176903645e-24,1.0001237493784908e-23,8.358486785324334e-33,1.7355830064059506e-19,1.0123660598938639e-20,3.734433850138659e-29,5.73731942344685e-24,3.1236642121336877e-25,1.8085595000935572e-34,2.8717143430667277e-24,5.888358797614894e-26,3.498698734451817e-35,9.477808932716041e-32,1.6987472806660712e-28,5.700444642225349e-32,2.2396611755250613e-37,5.70122053519431e-32,2.7661133686437585e-37,3.543645033173646e-48,1.8339787367156086e-46,7.968261962892393e-56,1.828625083266456e-39,3.6868351129581483e-50,3.318904169786716e-50,1.6230763898419156e-59,1.4339566415468505e-59,4.6109120685608263e-48,1.036631512796861e-48,2.7418574552256595e-55,7.072568686553182e-54,1.1337143851228278e-28,6.575293092350347e-36,2.7773550603452053e-61,2.488110472575442e-61,9.532119492387574e-37,3.641325521419116e-36,1.921138966182488e-55,1.5651976026346202e-49,2.693900732273497e-58,6.703256761085201e-60,4.62460506051537e-47,6.245838805068872e-37,2.968924899412036e-36,7.197176346457371e-62,4.974825142857306e-62,6.38922112993931e-28,2.4844656877988316e-31,1.6912554874129043e-40,5.798453926588586e-41,2.925951994808765e-41,1.1440794809945684e-40,4.53185250380106e-41,1.7770762388034832e-40,1.1747897050418042e-37,1.0690965879790468e-40,1.948782458374423e-41,7.886816655152551e-41,2.3199082132092133e-27
6.792875415551271e-16,0.11224537200002052,0.9,0.0,0.0,0.0,0.0,0.09999999999981742,4.676477668947169e-14,4.6758199567640935e-14,3.231179737079234e-14,3.231179750821423e-14,2.7986247833921665e-14,2.7986252111208043e-14,2.7985489407304994e-14,2.7985489419017266e-14,2.4953691448954494e-14,2.4953730299494616e-14,2.2593511537995536e-14,2.2593511639220565e-14,6.5687840386975125e-18,8.091870763486655e-21,3.42252932071e-21,7.417039874964758e-22,3.681158335148233e-19,2.21059578367855e-27,7.06212090329077e-22,1.1943775744859599e-23,5.456744679470898e-23,1.666308215495532e-22,3.924705172595967e-27,6.574962217694218e-23,5.445273511720913e-22,4.5366398356664914e-23,3.179908354439752e-23,3.950705646681839e-23,6.610409261351543e-32,3.2980072889926307e-19,3.884768338701345e-20,1.5016286289508708e-28,2.1935762695367448e-23,2.3897576395219743e-24,2.7169660105945715e-33,1.1326263497404913e-23,4.575414791447007e-25,5.353482241487947e-34,1.8706451361809738e-31,6.830588107330465e-28,1.1244614467116706e-31,1.8026741594402314e-36,1.1246144025896311e-31,1.284380043738916e-36,6.374395428072083e-47,5.437372291494581e-45,6.330626576762104e-54,2.8027123381972133e-38,8.325765589975161e-49,9.863279661355424e-49,9.86819977756386e-58,1.138437622277216e-57,2.736234689527089e-46,2.314909482512409e-47,1.0311436503937542e-53,2.1246791063653008e-52,4.558615680757226e-28,1.0456528948387205e-34,4.188420460072873e-59,4.9180116680950215e-59,8.610897479310628e-36,6.447986216735431e-35,1.7673371182331973e-54,2.5274582151322986e-48,5.531681642036277e-56,2.748155645973403e-57,5.50281194605507e-46,5.504797968748364e-36,4.721409174331664e-35,1.2918862317744023e-59,1.0461309138662305e-59,2.5680828126731586e-27,1.9989915104068896e-30,9.416797636900589e-40,5.172480035098944e-40,2.621429955627599e-40,2.049131320617767e-39,4.054166286283978e-40,3.184205471750165e-39,9.475104590291185e-37,1.7193372110894274e-39,1.7376421642157942e-40,1.2689530168015694e-39,9.328248572368688e-27
1.3609419386557426e-15,0.11224537200004107,0.9,0.0,0.0,0.0,0.0,0.09999999999963419,9.369249703040222e-14,9.36668136844251e-14,6.473617919351016e-14,6.473617975172912e-14,5.60700001611735e-14,5.60700173203537e-14,5.606848905154241e-14,5.606848909858017e-14,4.999432955791248e-14,4.999447223159578e-14,4.526574596735538e-14,4.5265746378007676e-14,2.564985610875475e-17,3.244814284241368e-20,1.3725823426881508e-20,2.9745512649209344e-21,7.375838919591503e-19,1.7729123944959412e-26,2.8321575051881364e-21,9.348354306143026e-23,2.188398673661708e-22,6.682455620783332e-22,3.1483032514949755e-26,2.537288031383941e-22,1.0909516497350434e-21,1.7484343096117997e-22,1.2283391680860456e-22,1.5303764001767254e-22,5.12551923861755e-31,5.959287087267244e-19,1.4265260710377575e-19,6.02265808388846e-28,8.003219446416268e-23,1.7524019334802852e-23,3.855082602465004e-32,4.374435316332312e-23,3.513972099138048e-24,8.085781550086317e-33,3.462124178530821e-31,2.7393713410653596e-27,2.074138741698913e-31,1.4465324834663637e-35,2.0744200908579763e-31,5.565981910915621e-36,1.0236714679843173e-45,1.4934516122791227e-43,3.5397060604805706e-52,4.122526893113731e-37,1.6691794553777634e-47,2.7346071213110193e-47,4.0077771982330864e-56,6.380906753610498e-56,1.5049796373609862e-44,4.5385469855622055e-46,3.331834397583176e-52,5.998399082757659e-51,1.8282087777632586e-27,1.637377818204862e-33,3.092059344570954e-57,5.015673625601874e-57,7.476200853016219e-35,1.070554100283141e-33,3.809524381354219e-53,4.061837381022983e-47,6.15903448279901e-54,6.1316155996632474e-55,5.781617794680636e-45,4.553311971789582e-35,7.393209235934445e-34,1.1829469785460674e-57,1.215920357393393e-57,1.0291178991440417e-26,1.602904633604741e-29,5.8417904912190065e-39,4.3848114005252157e-39,2.2433373995387306e-39,3.4836444384924066e-38,3.4567683747555075e-39,5.414602065550185e-38,7.610919322168061e-36,2.756410833016534e-38,1.4727159966979543e-39,2.03487296103572e-38,3.7410446372266073e-26
